epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.3366,3.34967,45.3475,3.27278,0.00053,0.01266,0.00025,9e-05,2.54736,22.7893,2.64302,0.00028,0.00028,0.00028
2,53.041,2.07061,12.5775,2.14676,0.01007,0.43038,0.00969,0.00673,1.7387,87.0415,1.91486,0.000574258,0.000574258,0.000574258
3,61.0732,1.97222,4.10217,2.09435,0.61821,0.59494,0.55589,0.37324,1.99218,7.54437,2.19553,0.000862576,0.000862576,0.000862576
4,67.8567,2.09842,2.12092,2.12636,0.61125,0.4557,0.51463,0.32531,2.22995,5.13264,2.3669,0.00114495,0.00114495,0.00114495
5,74.8808,2.25071,1.93146,2.26617,0.00196,0.07595,0.00086,0.00031,6.2879,152.958,7.10101,0.00142139,0.00142139,0.00142139
6,82.4388,2.13813,1.77812,2.14444,0.00134,0.27848,0.0009,0.00041,4.40401,66.7746,5.61395,0.00169189,0.00169189,0.00169189
7,88.7887,2.21354,1.57041,2.14888,0.00106,0.11392,0.00051,0.00018,6.69164,923.825,12.9281,0.0018812,0.0018812,0.0018812
8,97.0799,2.17234,1.63628,2.18409,0.00106,0.11392,0.00051,0.00018,nan,nan,nan,0.0018614,0.0018614,0.0018614
9,103.293,2.01281,1.36856,2.08436,0.00119,0.1519,0.00069,0.00031,5.61146,50.8006,5.80488,0.0018416,0.0018416,0.0018416
10,111.29,1.94049,1.25208,2.06654,0.00903,0.46835,0.00663,0.00404,3.15369,211.301,3.57153,0.0018218,0.0018218,0.0018218
11,117.765,2.09449,1.35694,2.13892,0.00802,0.3038,0.00469,0.00241,3.5924,100.356,3.41427,0.001802,0.001802,0.001802
12,124.919,1.9392,1.19891,2.06812,0.01064,0.27848,0.00607,0.00296,4.30005,78.6013,4.02778,0.0017822,0.0017822,0.0017822
13,132.292,1.88906,1.19902,2.0461,0.18112,0.31646,0.16266,0.11617,3.3263,12.8273,3.03353,0.0017624,0.0017624,0.0017624
14,138.597,1.86539,1.27316,1.93094,0.47422,0.22785,0.24662,0.16893,3.38903,8.2066,3.10041,0.0017426,0.0017426,0.0017426
15,146.597,1.83084,1.14226,2.03566,0.66739,0.22785,0.26592,0.16765,2.7276,5.10366,2.5396,0.0017228,0.0017228,0.0017228
16,152.858,1.95512,1.15453,2.07505,0.86144,0.70886,0.79193,0.62507,1.68367,3.67545,1.98037,0.001703,0.001703,0.001703
17,161.121,1.73646,1.08975,2.00394,0.94045,0.72152,0.85809,0.6637,1.67513,2.77864,1.90821,0.0016832,0.0016832,0.0016832
18,167.749,1.72366,1.07558,1.89949,0.92836,0.86076,0.91756,0.71554,1.66134,1.72017,1.90426,0.0016634,0.0016634,0.0016634
19,174.994,1.81346,1.04228,1.9495,0.97234,0.88985,0.98029,0.76316,1.68853,0.80338,1.89839,0.0016436,0.0016436,0.0016436
20,182.737,1.7474,1.0932,1.89299,0.92392,0.96203,0.98129,0.76224,1.65071,0.82307,1.92512,0.0016238,0.0016238,0.0016238
21,189.229,1.78624,0.98599,1.93322,0.92578,0.98734,0.98664,0.7927,1.56433,0.80203,1.88499,0.001604,0.001604,0.001604
22,197.743,1.75648,0.98119,2.00963,0.91965,0.88608,0.96032,0.76108,1.47596,1.25419,1.8579,0.0015842,0.0015842,0.0015842
23,204.133,1.70307,0.9754,1.94838,0.96179,0.94937,0.9891,0.77947,1.48551,0.8542,1.85406,0.0015644,0.0015644,0.0015644
24,212.191,1.73516,0.96727,1.98483,0.93801,0.95778,0.98723,0.8078,1.46074,0.76295,1.83328,0.0015446,0.0015446,0.0015446
25,218.691,1.63954,0.91298,1.94661,0.95098,0.98231,0.99179,0.80313,1.43335,0.68668,1.83259,0.0015248,0.0015248,0.0015248
26,226.142,1.7713,1.04855,2.01269,0.92633,0.95503,0.97763,0.79111,1.50223,0.85328,1.84682,0.001505,0.001505,0.001505
27,233.192,1.6768,0.91659,1.90202,0.9027,0.9395,0.96746,0.75488,1.55998,1.16269,1.887,0.0014852,0.0014852,0.0014852
28,240.078,1.7255,1.00791,2.03353,0.96289,0.98523,0.99052,0.82288,1.55969,0.69517,1.85508,0.0014654,0.0014654,0.0014654
29,248.09,1.54968,0.93627,1.82954,0.91625,0.97468,0.98421,0.77511,1.50459,0.77682,1.84079,0.0014456,0.0014456,0.0014456
30,254.448,1.64131,0.92907,1.95833,0.97465,0.97323,0.99005,0.82455,1.45081,0.66755,1.82978,0.0014258,0.0014258,0.0014258
31,262.604,1.54769,0.91926,1.92553,0.97143,0.97468,0.9899,0.7934,1.50922,0.70611,1.847,0.001406,0.001406,0.001406
32,268.999,1.64554,0.85932,1.92185,0.96758,0.93671,0.98906,0.82167,1.49122,0.70809,1.83439,0.0013862,0.0013862,0.0013862
33,277.002,1.57924,0.86659,1.92698,0.93697,0.94083,0.98575,0.80904,1.47542,0.70012,1.82413,0.0013664,0.0013664,0.0013664
34,283.604,1.64763,0.87092,1.9285,0.98695,0.95773,0.99082,0.80863,1.51615,0.65964,1.82953,0.0013466,0.0013466,0.0013466
35,290.779,1.57725,0.84416,1.90203,0.97227,0.97468,0.99278,0.81025,1.55525,0.64791,1.85577,0.0013268,0.0013268,0.0013268
36,298.14,1.53795,0.8303,1.94658,0.97327,0.92182,0.98896,0.79427,1.51693,0.68102,1.84412,0.001307,0.001307,0.001307
37,304.482,1.64812,0.88331,1.92726,0.90785,0.99768,0.98641,0.81242,1.52665,0.68242,1.84608,0.0012872,0.0012872,0.0012872
38,312.621,1.6317,0.85258,1.88892,0.95177,0.99914,0.99104,0.81253,1.46931,0.61231,1.83726,0.0012674,0.0012674,0.0012674
39,318.969,1.5412,0.84107,1.93415,0.98294,0.91139,0.98649,0.82126,1.4597,0.66736,1.8317,0.0012476,0.0012476,0.0012476
40,327.32,1.56472,0.86991,1.90564,0.97433,0.96093,0.9902,0.81356,1.47728,0.65011,1.83254,0.0012278,0.0012278,0.0012278
41,333.635,1.58751,0.88535,1.94802,0.96196,0.97468,0.98861,0.8101,1.44651,0.65527,1.80981,0.001208,0.001208,0.001208
42,340.885,1.54004,0.85567,1.88942,0.89991,0.97468,0.98535,0.81263,1.3979,0.6835,1.78448,0.0011882,0.0011882,0.0011882
43,348.277,1.54012,0.93793,1.94293,0.97272,0.97468,0.99214,0.82717,1.46699,0.65607,1.80103,0.0011684,0.0011684,0.0011684
44,355.281,1.43561,0.78383,1.87216,0.96056,0.92482,0.97612,0.80225,1.50172,0.76714,1.84264,0.0011486,0.0011486,0.0011486
45,363.127,1.60005,0.88351,1.90149,0.98723,0.97868,0.99463,0.81358,1.54297,0.64564,1.83435,0.0011288,0.0011288,0.0011288
46,369.518,1.51659,0.82072,1.90307,0.98427,1,0.99437,0.81646,1.48641,0.61391,1.84076,0.001109,0.001109,0.001109
47,377.767,1.36823,0.93431,1.76666,0.97487,0.98227,0.99253,0.82522,1.44458,0.62262,1.82636,0.0010892,0.0010892,0.0010892
48,384.082,1.512,0.81111,1.91198,0.96102,0.96203,0.99064,0.81683,1.43828,0.65528,1.81749,0.0010694,0.0010694,0.0010694
49,391.803,1.4746,0.78574,1.89094,0.96048,0.92405,0.98339,0.81966,1.40273,0.70571,1.8143,0.0010496,0.0010496,0.0010496
50,398.528,1.4318,0.82243,1.86562,0.98618,0.90351,0.98673,0.80892,1.41122,0.68259,1.81567,0.0010298,0.0010298,0.0010298
51,405.613,1.48294,0.75722,1.89248,0.96233,0.97008,0.99017,0.83001,1.38483,0.60334,1.80343,0.00101,0.00101,0.00101
52,413.026,1.52761,0.77807,1.89402,0.94321,0.96203,0.98891,0.83208,1.45738,0.64572,1.84129,0.0009902,0.0009902,0.0009902
53,419.595,1.52129,0.78442,1.88946,0.8965,0.98681,0.98464,0.83218,1.47421,0.64828,1.84112,0.0009704,0.0009704,0.0009704
54,427.921,1.36026,0.84667,1.83402,0.92976,0.94937,0.98747,0.81422,1.46377,0.66713,1.8413,0.0009506,0.0009506,0.0009506
55,434.449,1.4093,0.77137,1.89446,0.95994,0.91007,0.98488,0.82629,1.3851,0.71323,1.79597,0.0009308,0.0009308,0.0009308
56,442.804,1.55606,0.79623,1.8654,0.94208,0.98734,0.9898,0.81621,1.43984,0.6488,1.82056,0.000911,0.000911,0.000911
57,449.195,1.42219,0.78741,1.833,0.95999,0.98734,0.99017,0.80639,1.42401,0.70595,1.80966,0.0008912,0.0008912,0.0008912
58,456.397,1.4583,0.75836,1.88175,0.93932,1,0.98894,0.80715,1.37517,0.64106,1.78013,0.0008714,0.0008714,0.0008714
59,463.563,1.35397,0.74566,1.82075,0.9694,0.98734,0.99138,0.83341,1.3759,0.62896,1.82054,0.0008516,0.0008516,0.0008516
60,470.518,1.45345,0.73643,1.85045,0.95983,0.98734,0.99279,0.83635,1.3996,0.60364,1.81295,0.0008318,0.0008318,0.0008318
61,478.081,1.37308,0.74661,1.80268,0.97478,1,0.99387,0.84154,1.39065,0.58701,1.81843,0.000812,0.000812,0.000812
62,484.474,1.4804,0.76507,1.88923,0.9743,0.95974,0.98981,0.85177,1.37703,0.5985,1.80614,0.0007922,0.0007922,0.0007922
63,492.841,1.41264,0.71412,1.82155,0.9932,0.94937,0.99103,0.86028,1.32,0.55589,1.78541,0.0007724,0.0007724,0.0007724
64,499.321,1.32423,0.6906,1.81701,1,0.95894,0.9931,0.86351,1.303,0.52306,1.76457,0.0007526,0.0007526,0.0007526
65,507.298,1.44255,0.69894,1.85858,0.95134,1,0.99194,0.86026,1.28055,0.53143,1.76218,0.0007328,0.0007328,0.0007328
66,513.979,1.29872,0.68636,1.78262,0.96993,0.96203,0.98898,0.85654,1.29883,0.56603,1.76793,0.000713,0.000713,0.000713
67,521.195,1.43186,0.74558,1.88062,0.9605,0.96203,0.98887,0.84846,1.34994,0.58751,1.78595,0.0006932,0.0006932,0.0006932
68,528.339,1.32958,0.69147,1.82352,0.94801,0.94937,0.9869,0.8294,1.45418,0.62284,1.80611,0.0006734,0.0006734,0.0006734
69,535.186,1.42768,0.72578,1.81823,0.97418,0.95506,0.98756,0.83643,1.39516,0.62609,1.79943,0.0006536,0.0006536,0.0006536
70,543.021,1.25957,0.62984,1.77015,0.97522,0.99656,0.99298,0.84965,1.35652,0.57018,1.78639,0.0006338,0.0006338,0.0006338
71,549.515,1.27058,0.63365,1.79779,0.94989,1,0.99171,0.85561,1.34078,0.56228,1.79533,0.000614,0.000614,0.000614
72,558.025,1.28079,0.65889,1.8122,0.9852,0.98734,0.99218,0.85643,1.34371,0.55153,1.77833,0.0005942,0.0005942,0.0005942
73,564.458,1.29398,0.64024,1.82153,0.97395,1,0.99284,0.85589,1.35174,0.55714,1.78013,0.0005744,0.0005744,0.0005744
74,572.593,1.25756,0.63721,1.80515,0.98508,1,0.99375,0.85207,1.33769,0.53263,1.782,0.0005546,0.0005546,0.0005546
75,579.182,1.29546,0.63206,1.7884,0.95177,0.99926,0.99211,0.86722,1.34383,0.53443,1.77261,0.0005348,0.0005348,0.0005348
76,586.497,1.20802,0.65478,1.74436,0.98442,0.98734,0.99401,0.84667,1.34894,0.53825,1.772,0.000515,0.000515,0.000515
77,593.806,1.19956,0.66425,1.75861,0.9741,1,0.99387,0.84803,1.33177,0.53966,1.76062,0.0004952,0.0004952,0.0004952
78,600.406,1.3266,0.67766,1.82166,0.98682,0.94789,0.99216,0.86449,1.30943,0.55938,1.75986,0.0004754,0.0004754,0.0004754
79,608.323,1.23008,0.63497,1.78323,0.983,0.97468,0.99287,0.86156,1.30963,0.52564,1.76353,0.0004556,0.0004556,0.0004556
80,614.694,1.22295,0.62443,1.77035,0.98732,0.98548,0.99324,0.86322,1.29617,0.51953,1.75756,0.0004358,0.0004358,0.0004358
81,622.551,1.25,0.63236,1.80831,0.9837,1,0.99338,0.86124,1.30398,0.52386,1.7595,0.000416,0.000416,0.000416
82,628.883,1.18548,0.62115,1.76518,0.9287,0.98927,0.99034,0.86876,1.29176,0.54605,1.76487,0.0003962,0.0003962,0.0003962
83,636.399,1.23616,0.64634,1.82337,0.98063,0.97468,0.99218,0.86853,1.26412,0.54229,1.74979,0.0003764,0.0003764,0.0003764
84,643.547,1.16144,0.65212,1.7963,0.94968,1,0.99261,0.85931,1.26614,0.51925,1.74928,0.0003566,0.0003566,0.0003566
85,650.35,1.11984,0.54858,1.66173,0.96251,1,0.9926,0.8578,1.25762,0.52308,1.74483,0.0003368,0.0003368,0.0003368
86,658.434,1.16407,0.57505,1.76216,0.93224,0.98734,0.98986,0.86401,1.25413,0.5329,1.7448,0.000317,0.000317,0.000317
87,664.778,1.17013,0.60493,1.76143,0.96307,0.99021,0.99193,0.86281,1.29612,0.55265,1.75021,0.0002972,0.0002972,0.0002972
88,673.037,1.13828,0.56666,1.73297,0.97498,0.98658,0.99174,0.8658,1.2692,0.53075,1.75048,0.0002774,0.0002774,0.0002774
89,679.405,1.15103,0.59291,1.75662,0.9746,0.97132,0.9903,0.85962,1.25285,0.55037,1.75104,0.0002576,0.0002576,0.0002576
90,687.095,1.10118,0.56262,1.77083,0.98362,0.98734,0.99199,0.86763,1.28366,0.53632,1.75245,0.0002378,0.0002378,0.0002378
91,695.051,1.07251,0.55079,1.66137,0.95462,1,0.99246,0.86527,1.31339,0.51639,1.7558,0.000218,0.000218,0.000218
92,702.58,1.08705,0.48692,1.67886,0.94968,0.98734,0.99185,0.86167,1.32024,0.521,1.75618,0.0001982,0.0001982,0.0001982
93,709.626,1.04376,0.4824,1.66739,0.98158,0.98734,0.99313,0.865,1.29144,0.5078,1.75135,0.0001784,0.0001784,0.0001784
94,716.169,1.0198,0.47255,1.67755,0.97229,0.98734,0.99065,0.87059,1.24011,0.51376,1.74565,0.0001586,0.0001586,0.0001586
95,724.355,1.00039,0.47578,1.69015,0.97249,0.98734,0.99263,0.86766,1.27001,0.5039,1.74558,0.0001388,0.0001388,0.0001388
96,730.717,1.02242,0.62665,1.66696,0.98519,0.98734,0.993,0.86397,1.28714,0.50159,1.74661,0.000119,0.000119,0.000119
97,738.963,0.9985,0.47552,1.67477,0.96334,0.99794,0.99247,0.85709,1.28017,0.50327,1.74722,9.92e-05,9.92e-05,9.92e-05
98,745.454,0.99394,0.47169,1.69046,0.97328,1,0.9931,0.87323,1.24694,0.48151,1.7417,7.94e-05,7.94e-05,7.94e-05
99,752.706,0.98282,0.44534,1.65656,0.96047,1,0.99246,0.86988,1.2562,0.48439,1.74133,5.96e-05,5.96e-05,5.96e-05
100,761.18,0.98475,0.46186,1.66794,0.97259,1,0.99284,0.87682,1.26392,0.48667,1.74234,3.98e-05,3.98e-05,3.98e-05
